Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,50,3.786182403564453e-05,1.3652300134140951,-2.842170943040401e-14,1.3652300134140916,1.3652300134140987
$P2$,1,9.207725524902344e-07,2.0,0.0,0.0,4.0
$P3$,49,2.0008087158203125e-05,0.6931471805599436,-3.3306690738754696e-15,0.6931471805599401,0.6931471805599472
$P4$,50,1.8229007720947265e-05,3.141592653589793,1.2246467991473532e-16,3.1415926535897896,3.1415926535897967
$P5$,48,4.166746139526367e-05,2.0000000000000018,0.0,1.9999999999999964,2.000000000000007
$P6$,1,1.1014938354492188e-06,-2.0,0.0,-2.5,-1.5
$P7$,48,1.7966270446777342e-05,0.7390851332151591,2.55351295663786e-15,0.7390851332151556,0.7390851332151627
$P8$,1,9.379386901855469e-07,3.0,0.0,2.0,4.0
$P9$,1,7.758140563964844e-07,0.0,0.0,-1.0,1.0
$P10$,49,5.54814338684082e-05,3.111748656309249,1.0658141036401503e-14,3.1117486563092456,3.1117486563092527
$P11$,48,2.2098541259765626e-05,1.7320508075688785,4.440892098500626e-15,1.732050807568875,1.732050807568882
$P12$,50,2.283000946044922e-05,2.2360679774997854,-1.9539925233402755e-14,2.236067977499781,2.23606797749979
$P13$,48,2.227163314819336e-05,3.1622776601683817,1.5987211554602254e-14,3.162277660168378,3.1622776601683853
$P14$,50,2.4962425231933594e-05,1.9999999999999991,-2.6645352591003757e-15,1.9999999999999964,2.0000000000000018
$P15$,49,2.7729511260986328e-05,1.828427124746188,-1.1546319456101628e-14,1.8284271247461845,1.8284271247461916
$P16$,49,2.2439479827880858e-05,1.2599210498948743,5.329070518200751e-15,1.2599210498948707,1.2599210498948779
$P17$,49,2.1451950073242187e-05,1.5243452049841473,3.375077994860476e-14,1.5243452049841437,1.5243452049841508
$P18$,48,1.7917633056640625e-05,0.7390851332151591,-2.55351295663786e-15,0.7390851332151556,0.7390851332151627
$P19$,49,2.2436141967773437e-05,1.114157140871928,-2.9976021664879227e-15,1.1141571408719244,1.1141571408719315
$P20$,51,2.313661575317383e-05,2.0739328090912155,-1.3322676295501878e-15,2.073932809091213,2.073932809091218
$P21$,48,2.2067070007324218e-05,1.000000000000001,1.1102230246251565e-14,0.9999999999999966,1.0000000000000058
$P22$,48,3.119802474975586e-05,1.6490132683031895,-3.552713678800501e-15,1.649013268303186,1.649013268303193
$P23$,48,3.0037879943847656e-05,3.2215883990939425,-5.551115123125783e-15,3.221588399093939,3.221588399093946
$P24$,46,2.3947715759277344e-05,2.12539119881113,0.0,2.1253911988111156,2.125391198811144
$P25$,47,2.5806427001953124e-05,0.8767262153950632,-8.881784197001252e-16,0.8767262153950597,0.8767262153950668
