Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,80,0.00018836545944213867,1.3652300134140964,-7.105427357601002e-15,1.3652300134140964,4.0
$P2$,33,4.3649673461914065e-05,1.9999999999999978,-8.881784197001252e-15,1.9999999999999978,4.0
$P3$,51,5.919742584228516e-05,0.6931471805599422,-6.217248937900877e-15,0.6931471805599422,2.0
$P4$,8,8.101940155029297e-06,3.141592653589793,1.2246467991473532e-16,3.141592653589793,3.1415926535899232
$P5$,2,3.567218780517578e-06,1.0,0.0,1.0,2.5
$P6$,31,5.474376678466797e-05,-1.9999999999999947,-5.329070518200751e-15,-2.5,-1.9999999999999947
$P7$,12,1.3005256652832032e-05,0.7390851332151551,9.2148511043888e-15,0.7390851332151551,1.0
$P8$,30,4.065132141113281e-05,2.9999999999999987,-7.105427357601002e-15,2.9999999999999987,4.0
$P9$,2,1.8968582153320313e-06,0.0,0.0,0.0,1.0
$P10$,13,4.637861251831055e-05,3.1117486563092474,0.0,3.1117486563092474,3.1117486563092482
$P11$,14,1.837301254272461e-05,1.732050807568876,-3.9968028886505635e-15,1.732050807568876,2.0
$P12$,50,6.60090446472168e-05,2.2360679774997876,-9.769962616701378e-15,2.2360679774997876,7.0
$P13$,17,2.252960205078125e-05,3.162277660168379,-1.7763568394002505e-15,3.162277660168379,4.0
$P14$,38,5.457925796508789e-05,1.9999999999999971,-8.659739592076221e-15,1.9999999999999971,4.0
$P15$,21,3.480148315429687e-05,1.8284271247461896,-2.6645352591003757e-15,1.8284271247461896,3.0
$P16$,41,5.416107177734375e-05,1.2599210498948719,-6.217248937900877e-15,1.2599210498948719,2.0
$P17$,30,3.7024497985839844e-05,1.5243452049841437,-7.993605777301127e-15,1.5243452049841437,2.0
$P18$,12,1.2883663177490234e-05,0.7390851332151551,-9.2148511043888e-15,0.7390851332151551,1.0
$P19$,7,1.5272617340087892e-05,1.1141571408719306,8.881784197001252e-16,1.0997501702946164,1.1141571408719306
$P20$,13,3.1451702117919923e-05,2.0739328090912146,7.771561172376096e-16,2.0739328090912146,2.5157197710146586
$P21$,139,0.00021904993057250975,0.9999999999999991,-8.881784197001252e-15,0.9999999999999991,1.3
$P22$,16,3.085422515869141e-05,1.64901326830319,-8.881784197001252e-16,1.64901326830319,2.0
$P23$,45,0.00010236167907714844,3.2215883990939416,6.439293542825908e-15,3.2215883990939416,4.0
$P24$,45,7.11665153503418e-05,2.1253911988111285,-8.881784197001252e-15,2.1253911988111285,3.0
$P25$,17,2.594470977783203e-05,0.8767262153950554,7.882583474838611e-15,0.8767262153950554,1.0
