Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,10,1.5172481536865234e-05,1.3652300134140964,-7.105427357601002e-15,1.365230013413779,1.3675001980274413
$P2$,1,9.865760803222656e-07,2.0,0.0,0.0,4.0
$P3$,10,1.0117530822753906e-05,0.6931471805599453,0.0,0.6931471805599334,0.695162706464415
$P4$,6,5.418300628662109e-06,3.141592653589793,1.2246467991473532e-16,3.1415903579556947,3.141592653604888
$P5$,1,1.5759468078613282e-06,1.0,0.0,1.0,2.5
$P6$,1,1.1796951293945313e-06,-2.0,0.0,-2.5,-1.5
$P7$,8,7.328510284423828e-06,0.7390851332151606,1.1102230246251565e-16,0.739085133215147,0.7422270732175922
$P8$,1,1.0251998901367187e-06,3.0,0.0,2.0,4.0
$P9$,1,8.063316345214844e-07,0.0,0.0,-1.0,1.0
$P10$,8,1.612281799316406e-05,3.1117486563092474,0.0,3.1085379927858856,3.1117486563092536
$P11$,8,8.37850570678711e-06,1.7320508075688772,-4.440892098500626e-16,1.7320508075688001,1.7350578402209837
$P12$,10,1.055908203125e-05,2.236067977499789,-3.552713678800501e-15,2.236067977499364,2.243929153983615
$P13$,8,8.519172668457031e-06,3.1622776601683795,1.7763568394002505e-15,3.16227766016837,3.1672187190124017
$P14$,2,2.201557159423828e-06,2.0,0.0,1.5,2.5
$P15$,5,6.055355072021484e-06,1.82842712474619,0.0,1.8284271247430004,1.8284271247493797
$P16$,9,9.371757507324219e-06,1.2599210498948723,-3.9968028886505635e-15,1.259921049893984,1.2611286403176987
$P17$,11,1.1420249938964843e-05,1.5243452049841444,0.0,1.5243452049841386,1.526033337108763
$P18$,8,7.338523864746094e-06,0.7390851332151606,-1.1102230246251565e-16,0.739085133215147,0.7422270732175922
$P19$,6,6.336212158203125e-06,1.11415714087193,-2.220446049250313e-16,1.1132427327642702,1.1141571408719766
$P20$,10,1.0503768920898437e-05,2.073932809091215,-2.220446049250313e-16,2.0739328090911866,2.078935003337393
$P21$,12,1.2410163879394531e-05,0.9999999999999999,-1.1102230246251565e-15,0.9999999999999305,1.000343363282986
$P22$,8,1.0457038879394531e-05,1.6490132683031895,-3.552713678800501e-15,1.6490132683026435,1.6531557562694839
$P23$,9,1.190328598022461e-05,3.221588399093942,3.3306690738754696e-16,3.2215883990939242,3.2224168881395068
$P24$,9,1.0379314422607422e-05,2.125391198811129,-6.217248937900877e-15,2.125391198810404,2.1275191334463157
$P25$,7,7.855415344238281e-06,0.8767262153950581,4.773959005888173e-15,0.8767262153886713,0.8772684454348731
