Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,40,9.161663055419921e-05,1.3652300134140964,-7.105427357601002e-15,1.3652300134140962,4.0
$P2$,17,2.2036075592041016e-05,1.9999999999999993,-2.6645352591003757e-15,1.9999999999999978,4.0
$P3$,26,2.8127670288085937e-05,0.6931471805599437,-3.1086244689504383e-15,0.6931471805599422,2.0
$P4$,6,6.357192993164063e-06,3.141592653589793,1.2246467991473532e-16,3.141592653589793,3.141592653632415
$P5$,1,1.9183158874511717e-06,1.0,0.0,1.0,2.5
$P6$,16,2.4014472961425782e-05,-1.9999999999999958,-4.440892098500626e-15,-2.0000000000000147,-1.75
$P7$,6,6.125926971435547e-06,0.7390851332151551,9.2148511043888e-15,0.73908513321505,1.0
$P8$,15,1.7952919006347656e-05,2.9999999999999987,-7.105427357601002e-15,2.999999999999995,4.0
$P9$,1,1.0824203491210938e-06,0.0,0.0,-1.0,1.0
$P10$,7,1.9019603729248047e-05,3.1117486563092465,7.105427357601002e-15,3.1117486563092456,3.1117486563092482
$P11$,7,8.510112762451172e-06,1.732050807568876,-3.9968028886505635e-15,1.7320508075688599,2.0
$P12$,25,2.923154830932617e-05,2.2360679774997876,-9.769962616701378e-15,2.236067977499786,7.0
$P13$,9,1.07879638671875e-05,3.1622776601683795,1.7763568394002505e-15,3.162277660168379,4.0
$P14$,19,2.37579345703125e-05,1.9999999999999971,-8.659739592076221e-15,1.999999999999993,4.0
$P15$,11,1.5673160552978516e-05,1.82842712474619,0.0,1.8284271247461896,3.0
$P16$,21,2.460002899169922e-05,1.2599210498948725,-3.1086244689504383e-15,1.2599210498948719,2.0
$P17$,15,1.6757965087890624e-05,1.5243452049841437,-7.993605777301127e-15,1.524345204984142,2.0
$P18$,6,6.065845489501953e-06,0.7390851332151551,-9.2148511043888e-15,0.73908513321505,1.0
$P19$,5,5.979061126708984e-06,1.1141571408719302,2.220446049250313e-16,1.11415714087193,1.114157140871963
$P20$,7,8.254051208496093e-06,2.073932809091214,1.7763568394002505e-15,2.0739328090911875,2.5157197710146586
$P21$,70,8.022165298461914e-05,0.9999999999999993,-6.661338147750939e-15,0.9999999999999991,1.3
$P22$,8,1.2956142425537109e-05,1.64901326830319,-8.881784197001252e-16,1.649013268303187,2.0
$P23$,23,3.673696517944336e-05,3.221588399093942,3.3306690738754696e-16,3.2215883990939416,4.0
$P24$,23,2.9619693756103514e-05,2.1253911988111294,-1.7763568394002505e-15,2.1253911988111285,3.0
$P25$,9,1.1582374572753906e-05,0.8767262153950615,1.1102230246251565e-15,0.8767262153950554,1.0
