random_text;degree;data_points;coeffs;nth_root;constant_nth_root;bisection_initial;secant_initial;newton_initial;newton_root;secant_root;poly_val_newton_root;poly_val_secant_root
xLXA8ndpfA;7;[(0.8842497619332916, 0.8122870956034755), (0.6439217166741082, 0.014664354766377063), (0.0884367540601626, 0.5356999474119911), (0.8402490038980334, 0.8336287079983697), (0.7748731795215451, 0.5928175441674262), (0.2480338522216825, 0.6486008125458709), (0.3799661964273203, 0.6715882306613864), (0.33436407548160163, 0.4910926116724156)];[7484.484944793707, -28568.012592921616, 44318.37872635381, -35840.14736319585, 16101.064168156634, -3946.924664585673, 474.98223390486294, -19.771751953888774];3.5;-2.345841230930895;[2, -2];[-3, -2];-2;0.08139331479482217;0.08139355642646821;-2.0637668779244223e-05;-2.6733778923926366e-07
fRUwt6L9C9;13;[(0.7565494310365493, 0.8824143061334395), (0.24687101685860358, 0.9171478315758641), (0.35648982668553086, 0.9823723641624235), (0.5877744118976502, 0.719135216773541), (0.9113449828697642, 0.8181644920455525), (0.4794335039851605, 0.015004405287389999), (0.19915319624733385, 0.842023500505678), (0.3264182173439373, 0.3134101182117861), (0.7216826207827026, 0.9206662776273324), (0.9465291445377358, 0.9039755675251565), (0.28654303330476416, 0.4436571927695948), (0.7772895677006145, 0.6317800340116785), (0.3135367965577075, 0.28956859625063114), (0.1227826733687426, 0.6989386811412933)];[-2121668169.7432036, 14118615458.995228, -42328053431.56768, 75601306831.14046, -89634219848.2659, 74399181739.06917, -44423488357.76519, 19297499288.96704, -6092009119.879124, 1378892165.527527, -217255791.84653458, 22532067.13676439, -1376047.1739967384, 37270.19058539837];4.333333333333333;11.348268512567275;[-11, 11];[11, 12];11;0.9466139953563586;0.9466138712140562;-0.0024812535993987694;-0.001158478989964351
sE4o6j7i1r;5;[(0.887152106219158, 0.1967530750104205), (0.31421451054638116, 0.6524990994287673), (0.4640319303211603, 0.10904472751595384), (0.4423876787220947, 0.10574917922512217), (0.4825477380412503, 0.03366449119303461), (0.018867839118479668, 0.17412594916878432)];[4359.981906784269, -9443.446024766954, 7341.311981997157, -2483.6467521205036, 324.3853538224407, -5.110282236200916];2.5;-1.9203392323131863;[2, -2];[-2, -1];-2;0.018140870963303968;0.018140956770947184;-0.0001822075593542749;-0.00016150227133682193
Bh4JLApJpc;7;[(0.4704394647375023, 0.7534714669831492), (0.9203932748446165, 0.3486033596800029), (0.8425391643323272, 0.7829803278857155), (0.9206100897151268, 0.20589128228080722), (0.27546707022139816, 0.6088347102667159), (0.02322857761082242, 0.30386191444886146), (0.16077481985834685, 0.9841512048013903), (0.148708540488805, 0.868262210849898)];[-60359.608803411655, 175799.7240455863, -197628.3816025152, 109083.10206764886, -31347.505316456576, 4545.955084172572, -283.4281131716534, 4.7970886575781435];3.5;1.5651828117341589;[-2, 2];[1, 2];2;0.9209196009702394;0.9209199815327586;-1.183666666104699e-05;-0.0002665872558855753
M3wXXwy7Ju;11;[(0.03619669751899268, 0.07761176104151835), (0.43217747671927165, 0.6028225462354433), (0.7682747562419422, 0.21255212473838425), (0.40435095055594217, 0.6491764453459451), (0.2792252771034853, 0.37667601021611796), (0.7552109868881469, 0.22522727139804677), (0.6520651944007502, 0.17908634332762985), (0.9561683181519294, 0.618283137274601), (0.015657042028925594, 0.20425435712959739), (0.1503948334587979, 0.1285770429550892), (0.352420745583495, 0.47189983406620106), (0.2901747281394693, 0.7095311680300284)];[-62276464.45694773, 298313401.1591538, -618958034.484683, 729888339.2477549, -539335106.105075, 259504737.42863494, -81744841.66828395, 16480619.52108435, -2007549.0301761557, 131562.67554912658, -3679.828624313901, 32.356033009591656];3.6666666666666665;2.5811068457483968;[-3, 3];[2, 3];3;0.9561786295735863;0.9561787581700235;-0.0015394501956009776;-0.009271377806570058
p4hmv8WCDy;11;[(0.48900356921691746, 0.14083872586808288), (0.8795933858567486, 0.578414552905043), (0.174692487496392, 0.9501524524582585), (0.7374193515983719, 0.9446860775775455), (0.8065275545771489, 0.9273344652825583), (0.2693679441117608, 0.7790745610523384), (0.7915990544575231, 0.8275738318764355), (0.17784629106786642, 0.6091606797833957), (0.2520537689119552, 0.15235279968377657), (0.40068441936965626, 0.4458993225341209), (0.19787068467447844, 0.48842063269248237), (0.6110775065978002, 0.5001891162677992)];[-206421770.7272131, 1151033472.8126035, -2842425818.7462955, 4095309964.9611816, -3817511211.8049884, 2412825342.6307793, -1053272779.9694313, 317110989.02347654, -64470923.112913296, 8427178.586046735, -637624.3046433495, 21176.34727075669];3.6666666666666665;15.127862176548565;[-15, 15];[15, 16];15;0.8798920181750157;0.8798949244704581;-0.00037571871507680044;-0.006086335983127356
RXGD2WkiTx;7;[(0.9198117960106349, 0.15110139168965597), (0.8255578185330811, 0.23551292213381592), (0.8865094132188066, 0.06321404875422243), (0.18451656992301668, 0.2508024114607249), (0.020098793722155395, 0.8238270089860806), (0.8469544574645813, 0.5697007726104157), (0.6333616732145771, 0.2521885490983794), (0.39939973235932924, 0.8163805652537096)];[127807.47980123553, -493375.7568027511, 767267.0361252454, -611054.183727371, 260780.54684805134, -56294.79014716996, 4986.237446350424, -78.67268533983855];3.5;-3.4806791571780247;[3, -3];[-4, -3];-3;0.019826749401038544;0.019826401717002534;-0.0008941928795991316;-0.0019522089752825877
JqlLqbtlNN;3;[(0.9726135413298846, 0.609835999806904), (0.8305624705175791, 0.07149772401063692), (0.34069888669042847, 0.44481701906621374), (0.8675461454657056, 0.9362957248334396)];[-367.6362799695667, 795.369443466866, -532.0352536205612, 103.92441080485546];1.5;22.104382170625428;[-22, 22];[22, 23];22;0.9908845458964766;0.9908846469790021;-4.243498338496465e-06;-8.154397036719274e-06
yBGrKQ3p1N;11;[(0.7704291971530266, 0.26471692260738056), (0.18293997858572164, 0.3479163026329023), (0.6380858609497172, 0.8520560149587738), (0.8585688295432039, 0.9623632519716977), (0.08345990697746108, 0.7633603230312141), (0.03910875764556543, 0.6387050124308379), (0.4137081501330311, 0.48729885788196514), (0.9998650479237285, 0.6658329866381), (0.9473319553948323, 0.9676847083895034), (0.33273247340000167, 0.5643555883773962), (0.23493693759811152, 0.5135841525580405), (0.807464868747228, 0.8728648190931434)];[-1293908.7103019431, 7134382.051732797, -17028068.89258235, 23060275.219050795, -19524587.767610762, 10744030.364120986, -3874189.7973368354, 902137.9729463388, -130542.83864068208, 10930.124614220125, -465.2130106257929, 8.131865634124127];3.6666666666666665;1.7710616915686421;[-2, 2];[1, 2];2;1.0035850278751104;1.0000000158576716;-5.7088242432001834e-05;0.6448450948931361
qkriL65R0U;3;[(0.8734242329716486, 0.026340217742084837), (0.9981105321221391, 0.48682915872087573), (0.9572242419691541, 0.03483687239268374), (0.2615061442366051, 0.9288104557782341)];[116.18533747650072, -240.8120975365239, 148.71305351465966, -23.570287686565667];1.5;-8.22072124838919;[8, -8];[-9, -8];-8;0.24272406128267954;0.24272461662323294;-2.9145531367902322e-05;-7.547866331947262e-08
