random_text,degree,data_points,coeffs,nth_root,text_decimal,text_hexa,coeffs_min_text,constant_nth_root,bisection_initial,secant_initial,newton_initial,x_coords,y_coords
Z110YmGB3y,3,"[(0.5505791088494238, 0.8068143378968539), (0.0520746192643915, 0.4590844661939074), (0.21541347128223942, 0.678500223320847), (0.5875147541401994, 0.7197419367465738)]","[-10.155250601494572, 6.380957612822016, 0.24917589015023722, 0.4302391282557122]",1.5,425920418349112459670393,0x5a313130596d47423379,"[-10.155250601494572, 6.380957612822016, 0.24917589015023722, -4.259204183491125e+23]",0.5699104275810513,"[-1, 1]","[0, 1]",1,"(0.5505791088494238, 0.8068143378968539)","(0.0520746192643915, 0.4590844661939074)"
0PFFR4EoBK,7,"[(0.5281795228139637, 0.5165248137177699), (0.15377325871237224, 0.5824791012560724), (0.14121858786943553, 0.8964695271717585), (0.481900837662084, 0.031180790177431916), (0.27976163853823566, 0.44977259973330286), (0.9260550692496883, 0.6908435416710121), (0.7676911858611591, 0.5304898037464061), (0.16068220829002733, 0.6465311860388164)]","[-208202.01875450462, 688684.994969873, -920319.7966768928, 639919.1791530498, -248308.8364022998, 53418.328822492214, -5884.9098991803185, 257.91394363679615]",3.5,228154394528855215784523,0x305046465234456f424b,"[-208202.01875450462, 688684.994969873, -920319.7966768928, 639919.1791530498, -248308.8364022998, 53418.328822492214, -5884.9098991803185, -2.2815439452885523e+23]",4.886442653345398,"[-5, 5]","[4, 5]",5,"(0.5281795228139637, 0.5165248137177699)","(0.15377325871237224, 0.5824791012560724)"
CP3Fvby07p,3,"[(0.25881471163116965, 0.016678245058483254), (0.5569259738941482, 0.33015517766558244), (0.9448956166090249, 0.23828768799520206), (0.4861363899093667, 0.863056104799402)]","[78.17576956705668, -139.51691401358755, 74.10874518420398, -11.173518363120774]",1.5,317877988648872609593200,0x43503346766279303770,"[78.17576956705668, -139.51691401358755, 74.10874518420398, -3.178779886488726e+23]",-4.997966007500396,"[5, -5]","[-5, -4]",-5,"(0.25881471163116965, 0.016678245058483254)","(0.5569259738941482, 0.33015517766558244)"
naBPb8wywv,5,"[(0.4059713794945512, 0.3797602332952945), (0.5615450485854006, 0.7181459316154498), (0.10558078999620735, 0.46254492110236967), (0.42286812021825304, 0.498752736615503), (0.9541095139343516, 0.7795883092339072), (0.009272444704876204, 0.5246004499597743)]","[579.8803469482048, -1200.7303216409894, 825.5405376719219, -213.88553336971933, 15.309538587650291, 0.40038379170665206]",2.5,521254425718010102249334,0x6e614250623877797776,"[579.8803469482048, -1200.7303216409894, 825.5405376719219, -213.88553336971933, 15.309538587650291, -5.212544257180101e+23]",0.6934107898634821,"[-1, 1]","[0, 1]",1,"(0.4059713794945512, 0.3797602332952945)","(0.5615450485854006, 0.7181459316154498)"
4FZjzRkTk6,5,"[(0.5580773789506103, 0.10007735445902555), (0.009938795279602064, 0.35542516808360247), (0.27470622988986615, 0.6777723198790722), (0.3390454669486036, 0.8677346826938707), (0.5534109056898875, 0.9557907134938856), (0.4649610813078472, 0.6384388979066112)]","[-61751.03321879768, 101854.06590245469, -61800.656254917776, 16431.870230595774, -1663.366740370955, 15.32383725413714]",2.5,246860844348686571170614,0x34465a6a7a526b546b36,"[-61751.03321879768, 101854.06590245469, -61800.656254917776, 16431.870230595774, -1663.366740370955, -2.4686084434868658e+23]",2.979524853238927,"[-3, 3]","[2, 3]",3,"(0.5580773789506103, 0.10007735445902555)","(0.009938795279602064, 0.35542516808360247)"
TmGETNo3Hh,9,"[(0.560238545519968, 0.02532526344084296), (0.4103852526248436, 0.37459696161616096), (0.18440648200229137, 0.7521793576440696), (0.27215270382054824, 0.630086376523765), (0.7772354926943501, 0.5650280865637082), (0.5690089972978055, 0.1259871245115105), (0.38971361701141816, 0.09470627917311358), (0.8316485589401597, 0.8315113976792927), (0.26179459703504737, 0.4890659529374052), (0.05283352839869171, 0.8312758697447712)]","[5180933.264256959, -20458318.65415561, 34466690.26853475, -32379563.368536476, 18594469.781431057, -6720738.323429194, 1512833.8153964775, -201009.5770156505, 13842.354044125774, -347.14736526844683]",4.5,398694615268730474809448,0x546d4745544e6f334868,"[5180933.264256959, -20458318.65415561, 34466690.26853475, -32379563.368536476, 18594469.781431057, -6720738.323429194, 1512833.8153964775, -201009.5770156505, 13842.354044125774, -3.986946152687305e+23]",-3.669092312700519,"[4, -4]","[-4, -3]",-4,"(0.560238545519968, 0.02532526344084296)","(0.4103852526248436, 0.37459696161616096)"
RZve82x9KW,1,"[(0.756032681069934, 0.3896377206195487), (0.3013035715560145, 0.9555911875791397)]","[-1.2445947600859868, 1.3305920339329487]",0.5,388902789848803306982231,0x525a7665383278394b57,"[-1.2445947600859868, -3.889027898488033e+23]",1.7704751607658211,"[-2, 2]","[1, 2]",2,"(0.756032681069934, 0.3896377206195487)","(0.3013035715560145, 0.9555911875791397)"
sbUQnorXGk,5,"[(0.04571962677421482, 0.0897500271316346), (0.7627670987408732, 0.6486528212672333), (0.844939111853152, 0.8216740758987405), (0.3967122078761005, 0.7693948623291444), (0.1414808675203506, 0.25298033921822394), (0.1252587663953657, 0.539725464353099)]","[2012.1917497925897, -4385.362316616551, 3308.586340550165, -1005.906176911947, 112.42764554247024, -3.245202878914864]",2.5,544886074265624011884395,0x736255516e6f7258476b,"[2012.1917497925897, -4385.362316616551, 3308.586340550165, -1005.906176911947, 112.42764554247024, -5.4488607426562404e+23]",-1.601388631399134,"[2, -2]","[-2, -1]",-2,"(0.04571962677421482, 0.0897500271316346)","(0.7627670987408732, 0.6486528212672333)"
LS1gVZseP0,3,"[(0.44059607143280777, 0.4911502380828513), (0.4514437531651644, 0.7572893618288717), (0.06025876855353118, 0.6930667970636754), (0.7510149892203216, 0.9026980993841225)]","[-204.9157800977687, 259.21576328667874, -84.39656100462534, 4.8822932616716]",1.5,360434492365187871756336,0x4c533167565a73655030,"[-204.9157800977687, 259.21576328667874, -84.39656100462534, -3.604344923651879e+23]",2.877945563058239,"[-3, 3]","[2, 3]",3,"(0.44059607143280777, 0.4911502380828513)","(0.4514437531651644, 0.7572893618288717)"
k0pkXyft6d,7,"[(0.22245998850424564, 0.7132906093705242), (0.11259305665132069, 0.8213219168239317), (0.6828648219796353, 0.2645278209030346), (0.5325963746618434, 0.9224556589667846), (0.30047548672051094, 0.9356655325920663), (0.6187463763526929, 0.1083615692495028), (0.6339355118072258, 0.7220559129974553), (0.6404369089585897, 0.5036023695600882)]","[9610501.650656624, -29955468.59237291, 38497213.36211984, -26240798.976834603, 10148037.236256668, -2200900.992762089, 244525.53968188603, -10535.335774245574]",3.5,506186758048223285491300,0x6b30706b587966743664,"[9610501.650656624, -29955468.59237291, 38497213.36211984, -26240798.976834603, 10148037.236256668, -2200900.992762089, 244525.53968188603, -5.061867580482233e+23]",-14.10353917002597,"[14, -14]","[-15, -14]",-14,"(0.22245998850424564, 0.7132906093705242)","(0.11259305665132069, 0.8213219168239317)"
w2bfZrAu5m,7,"[(0.7730275849073319, 0.7403095866838745), (0.34865630811173953, 0.18353297341403352), (0.19808268329757184, 0.36204360868066165), (0.9497625168782603, 0.7955330704139443), (0.4006912311564871, 0.19236975624196362), (0.7130003590472187, 0.42271362672684165), (0.6856232004402086, 0.8331357940526568), (0.47212740731551617, 0.4668946270470449)]","[-65762.89172716191, 249828.20447272292, -392535.7531073475, 330015.7757305936, -160041.6409086304, 44690.92401086716, -6636.9264193236395, 402.6925185947725]",3.5,562891039119283370407277,0x773262665a724175356d,"[-65762.89172716191, 249828.20447272292, -392535.7531073475, 330015.7757305936, -160041.6409086304, 44690.92401086716, -6636.9264193236395, -5.6289103911928335e+23]",5.549810577641138,"[-6, 6]","[5, 6]",6,"(0.7730275849073319, 0.7403095866838745)","(0.34865630811173953, 0.18353297341403352)"
