,Encrytion Algorithm,File Size,Key Size & Polynomial Degree,Encrytion Time,Dencrytion Time,Total Time
0,AES,5000,128,0.08095049858093262,0.11731863021850586,0.19826912879943848
1,Optimized Binew,5000,2D,0.04027724266052246,0.006994962692260742,0.0472722053527832
2,AES,10000,128,0.09744572639465332,0.23688077926635742,0.33432650566101074
3,Optimized Binew,10000,3D,0.07617020606994629,0.01199197769165039,0.08816218376159668
4,AES,15000,128,0.16741394996643066,0.3497607707977295,0.5171747207641602
5,Optimized Binew,15000,4D,0.12041735649108887,0.02898240089416504,0.1493997573852539
6,AES,20000,128,0.22910404205322266,0.4993581771850586,0.7284622192382812
7,Optimized Binew,20000,5D,0.18948888778686523,0.024984359741210938,0.21447324752807617
8,AES,25000,128,0.2540407180786133,0.5965321063995361,0.8505728244781494
9,Optimized Binew,25000,6D,0.3041417598724365,0.03398537635803223,0.33812713623046875
