,Encrytion Algorithm,File Size,Key Size & Polynomial Degree,Encrytion Time,Dencrytion Time,Total Time
0,AES,5000,128,0.14092278480529785,0.2998197078704834,0.44074249267578125
1,Optimized Binew,5000,4D,0.17281270027160645,0.015990495681762695,0.18880319595336914
2,AES,10000,128,0.2332749366760254,0.5973927974700928,0.8306677341461182
3,Optimized Binew,10000,4D,0.2678523063659668,0.029979705810546875,0.29783201217651367
4,AES,15000,128,0.3437917232513428,0.8760125637054443,1.219804286956787
5,Optimized Binew,15000,4D,0.40259647369384766,0.04748272895812988,0.45007920265197754
6,AES,20000,128,0.45749640464782715,1.2369987964630127,1.6944952011108398
7,Optimized Binew,20000,4D,0.533458948135376,0.06296849250793457,0.5964274406433105
8,AES,25000,128,0.6310250759124756,1.444472312927246,2.0754973888397217
9,Optimized Binew,25000,4D,0.6705224514007568,0.0769498348236084,0.7474722862243652
10,AES,30000,128,0.6880652904510498,1.7500662803649902,2.43813157081604
11,Optimized Binew,30000,4D,0.7764072418212891,0.09095025062561035,0.8673574924468994
12,AES,35000,128,0.8066928386688232,2.113179922103882,2.919872760772705
13,Optimized Binew,35000,4D,0.9781489372253418,0.11915040016174316,1.097299337387085
14,AES,40000,128,0.9233560562133789,2.3036861419677734,3.2270421981811523
15,Optimized Binew,40000,4D,1.0859601497650146,0.12096619606018066,1.2069263458251953
16,AES,45000,128,1.064133644104004,2.8291547298431396,3.8932883739471436
17,Optimized Binew,45000,4D,1.1604640483856201,0.14493322372436523,1.3053972721099854
18,AES,50000,128,1.1478219032287598,2.9107820987701416,4.058604001998901
19,Optimized Binew,50000,4D,1.4886651039123535,0.14791393280029297,1.6365790367126465
20,AES,100000,128,2.445958375930786,5.865861892700195,8.311820268630981
21,Optimized Binew,100000,4D,2.5599114894866943,0.3058476448059082,2.8657591342926025
22,AES,200000,128,4.850305557250977,13.086151361465454,17.93645691871643
23,Optimized Binew,200000,4D,5.138029336929321,0.6027135848999023,5.740742921829224
24,AES,300000,128,7.568408012390137,19.054447650909424,26.62285566329956
25,Optimized Binew,300000,4D,7.97970175743103,0.9140949249267578,8.893796682357788
26,AES,400000,128,9.695457458496094,23.673795461654663,33.36925292015076
27,Optimized Binew,400000,4D,10.307242631912231,1.217538833618164,11.524781465530396
28,AES,500000,128,12.475493431091309,30.704272747039795,43.1797661781311
29,Optimized Binew,500000,4D,12.938666820526123,1.5164964199066162,14.45516324043274
30,AES,600000,128,16.02529501914978,36.57160401344299,52.59689903259277
31,Optimized Binew,600000,4D,15.46439504623413,1.8413825035095215,17.305777549743652
32,AES,700000,128,17.79366683959961,42.61285209655762,60.40651893615723
33,Optimized Binew,700000,4D,18.629071950912476,2.306004047393799,20.935075998306274
34,AES,800000,128,20.986847400665283,49.12904977798462,70.1158971786499
35,Optimized Binew,800000,4D,21.159959316253662,2.453556537628174,23.613515853881836
36,AES,900000,128,26.78887438774109,59.441365480422974,86.23023986816406
37,Optimized Binew,900000,4D,23.619050979614258,2.7270548343658447,26.346105813980103
38,AES,1000000,128,30.077407360076904,63.3276731967926,93.4050805568695
39,Optimized Binew,1000000,4D,25.899226665496826,3.063786745071411,28.963013410568237
