,Root Finding Algorithm,File Size In Bytes,Polynomial Degree,Encrytion Time,Decrytion Time,Total Time
0,Biscetion,2000,2,0.4223330020904541,0.012990236282348633,0.43532323837280273
1,False Position,2000,2,0.2141721248626709,0.015989303588867188,0.23016142845153809
2,Secant,2000,2,0.09445643424987793,0.012991189956665039,0.10744762420654297
3,Biscetion,4000,3,1.0010497570037842,0.028493881225585938,1.0295436382293701
4,False Position,4000,3,0.3664588928222656,0.029979705810546875,0.3964385986328125
5,Secant,4000,3,0.15917634963989258,0.03497743606567383,0.1941537857055664
6,Biscetion,6000,4,1.8292691707611084,0.049836158752441406,1.8791053295135498
7,False Position,6000,4,0.7230443954467773,0.044972896575927734,0.7680172920227051
8,Secant,6000,4,0.32864809036254883,0.04597043991088867,0.3746185302734375
9,Biscetion,8000,5,2.9077348709106445,0.06474137306213379,2.9724762439727783
10,False Position,8000,5,0.7919275760650635,0.06395888328552246,0.8558864593505859
11,Secant,8000,5,0.4792201519012451,0.06196141242980957,0.5411815643310547
12,Biscetion,10000,6,4.1594038009643555,0.08661913871765137,4.246022939682007
13,False Position,10000,6,1.4792251586914062,0.08880448341369629,1.5680296421051025
14,Secant,10000,6,0.7302324771881104,0.09395146369934082,0.8241839408874512
