,Encrytion Algorithm,File Size,Key Size & Polynomial Degree,Encrytion Time,Dencrytion Time,Total Time
0,AES,5000,128,0.1193077564239502,0.24659490585327148,0.3659026622772217
1,Optimized Binew,5000,2D,0.11168384552001953,0.0010449886322021484,0.11272883415222168
2,AES,10000,128,0.21037006378173828,0.5015208721160889,0.7118909358978271
3,Optimized Binew,10000,3D,0.14856791496276855,0.025705337524414062,0.17427325248718262
4,AES,15000,128,0.3692777156829834,0.7747974395751953,1.1440751552581787
5,Optimized Binew,15000,4D,0.28763866424560547,0.03568315505981445,0.3233218193054199
6,AES,20000,128,0.42240405082702637,1.0436968803405762,1.4661009311676025
7,Optimized Binew,20000,5D,0.3999354839324951,0.051727294921875,0.4516627788543701
8,AES,25000,128,0.5008237361907959,1.4570260047912598,1.9578497409820557
9,Optimized Binew,25000,6D,0.6609675884246826,0.07712388038635254,0.7380914688110352
