,Root Finding Algorithm,File Size In Bytes,Polynomial Degree,Encrytion Time,Dencrytion Time,Total Time
0,Biscetion,2000,2,0.015342473983764648,0.0022623538970947266,0.017604827880859375
1,False Position,2000,2,0.025409221649169922,0.004357337951660156,0.029766559600830078
2,Secant,2000,2,0.014074563980102539,0.0025911331176757812,0.01666569709777832
3,Biscetion,4000,3,0.03578639030456543,0.00777888298034668,0.04356527328491211
4,False Position,4000,3,0.04567694664001465,0.007131099700927734,0.05280804634094238
5,Secant,4000,3,0.03825807571411133,0.008557558059692383,0.04681563377380371
6,Biscetion,6000,4,0.08450436592102051,0.01144266128540039,0.0959470272064209
7,False Position,6000,4,0.08639144897460938,0.009880781173706055,0.09627223014831543
8,Secant,6000,4,0.07626867294311523,0.01042628288269043,0.08669495582580566
9,Biscetion,8000,5,0.11019444465637207,0.01980304718017578,0.12999749183654785
10,False Position,8000,5,0.10917091369628906,0.018299102783203125,0.1274700164794922
11,Secant,8000,5,0.0990743637084961,0.013560056686401367,0.11263442039489746
12,Biscetion,10000,6,0.2532470226287842,0.02761554718017578,0.28086256980895996
13,False Position,10000,6,0.16636395454406738,0.01613140106201172,0.1824953556060791
14,Secant,10000,6,0.21672344207763672,0.028449058532714844,0.24517250061035156
