,Encrytion Algorithm,File Size,Key Size & Polynomial Degree,Encrytion Time,Dencrytion Time,Total Time
0,AES,50000000,128,0.12550854682922363,0.25299739837646484,0.3785059452056885
1,IBGA,50000000,4D,0.14927124977111816,0.010008811950683594,0.15928006172180176
2,AES,100000000,128,0.22697186470031738,0.5572514533996582,0.7842233180999756
3,IBGA,100000000,4D,0.24163055419921875,0.025987625122070312,0.26761817932128906
4,AES,150000000,128,0.3423032760620117,0.9048151969909668,1.2471184730529785
5,IBGA,150000000,4D,0.3592677116394043,0.05185818672180176,0.41112589836120605
6,AES,200000000,128,0.4317784309387207,1.2351410388946533,1.666919469833374
7,IBGA,200000000,4D,0.49024462699890137,0.04366278648376465,0.533907413482666
8,AES,250000000,128,0.5271122455596924,1.5159924030303955,2.043104648590088
9,IBGA,250000000,4D,0.6415128707885742,0.061508893966674805,0.703021764755249
10,AES,300000000,128,0.7159976959228516,1.605743169784546,2.3217408657073975
11,IBGA,300000000,4D,0.7205357551574707,0.07723617553710938,0.7977719306945801
12,AES,350000000,128,0.7041952610015869,1.9512345790863037,2.6554298400878906
13,IBGA,350000000,4D,0.8512294292449951,0.09745168685913086,0.948681116104126
14,AES,400000000,128,1.2081036567687988,2.190139055252075,3.398242712020874
15,IBGA,400000000,4D,0.9532039165496826,0.1131899356842041,1.0663938522338867
16,AES,450000000,128,1.135979175567627,2.6893436908721924,3.8253228664398193
17,IBGA,450000000,4D,1.075120210647583,0.12776398658752441,1.2028841972351074
18,AES,500000000,128,1.2581541538238525,2.7784571647644043,4.036611318588257
19,IBGA,500000000,4D,1.2238008975982666,0.1331017017364502,1.3569025993347168
20,AES,1000000000,128,2.70383882522583,5.591329336166382,8.295168161392212
21,IBGA,1000000000,4D,2.4015443325042725,0.27233052253723145,2.673874855041504
22,AES,2000000000,128,5.24066948890686,11.980509042739868,17.22117853164673
23,IBGA,2000000000,4D,4.752986431121826,0.5386018753051758,5.291588306427002
24,AES,3000000000,128,7.0072221755981445,17.488762855529785,24.49598503112793
25,IBGA,3000000000,4D,7.158618450164795,0.8167388439178467,7.975357294082642
26,AES,4000000000,128,9.687898635864258,22.97221851348877,32.66011714935303
27,IBGA,4000000000,4D,9.439014673233032,1.0944874286651611,10.533502101898193
28,AES,5000000000,128,12.035335063934326,32.57845616340637,44.6137912273407
29,IBGA,5000000000,4D,11.901930570602417,1.375014305114746,13.276944875717163
30,AES,6000000000,128,14.036812782287598,34.22324180603027,48.26005458831787
31,IBGA,6000000000,4D,14.251798868179321,1.6370265483856201,15.888825416564941
32,AES,7000000000,128,16.47776746749878,40.72452211380005,57.20228958129883
33,IBGA,7000000000,4D,16.748717784881592,1.888148546218872,18.636866331100464
34,AES,8000000000,128,20.67253065109253,47.00251317024231,67.67504382133484
35,IBGA,8000000000,4D,19.022948741912842,2.1911661624908447,21.214114904403687
36,AES,9000000000,128,25.561264991760254,50.84896278381348,76.41022777557373
37,IBGA,9000000000,4D,21.52749800682068,2.5572168827056885,24.084714889526367
38,AES,10000000000,128,24.90197229385376,60.89594745635986,85.79791975021362
39,IBGA,10000000000,4D,23.735764980316162,2.712703227996826,26.44846820831299
