,Encrytion Algorithm,File Size,Key Size & Polynomial Degree,Encrytion Time,Dencrytion Time,Total Time
0,AES,5000,128,0.11633682250976562,0.26225709915161133,0.37859392166137695
1,IBGA,5000,2D,0.08047771453857422,0.01531839370727539,0.09579610824584961
2,AES,10000,128,0.1995546817779541,0.5411357879638672,0.7406904697418213
3,IBGA,10000,3D,0.13457679748535156,0.02574014663696289,0.16031694412231445
4,AES,15000,128,0.36225390434265137,0.8727319240570068,1.2349858283996582
5,IBGA,15000,4D,0.2998776435852051,0.035810232162475586,0.33568787574768066
6,AES,20000,128,0.46217846870422363,1.1409268379211426,1.6031053066253662
7,IBGA,20000,5D,0.4066336154937744,0.05156588554382324,0.45819950103759766
8,AES,25000,128,0.5702292919158936,1.435533046722412,2.0057623386383057
9,IBGA,25000,6D,0.680286169052124,0.07732295989990234,0.7576091289520264
