,Root Finding Algorithm,File Size In Bytes,Polynomial Degree,Encrytion Time,Decrytion Time,Total Time
0,Biscetion,2000,2,0.05818772315979004,0.008609533309936523,0.06679725646972656
1,False Position,2000,2,0.052344322204589844,0.00784444808959961,0.06018877029418945
2,Secant,2000,2,0.055258989334106445,0.007683753967285156,0.0629427433013916
3,Biscetion,4000,3,0.11136865615844727,0.020010948181152344,0.1313796043395996
4,False Position,4000,3,0.11185407638549805,0.018057584762573242,0.1299116611480713
5,Secant,4000,3,0.11412715911865234,0.017221450805664062,0.1313486099243164
6,Biscetion,6000,4,0.34460997581481934,0.027991771697998047,0.3726017475128174
7,False Position,6000,4,0.21472764015197754,0.028559446334838867,0.2432870864868164
8,Secant,6000,4,0.21345210075378418,0.029612064361572266,0.24306416511535645
9,Biscetion,8000,5,0.30826544761657715,0.03954148292541504,0.3478069305419922
10,False Position,8000,5,0.32057881355285645,0.04048728942871094,0.3610661029815674
11,Secant,8000,5,0.3240694999694824,0.04256749153137207,0.3666369915008545
12,Biscetion,10000,6,0.5023105144500732,0.05195903778076172,0.554269552230835
13,False Position,10000,6,0.5378611087799072,0.05593514442443848,0.5937962532043457
14,Secant,10000,6,0.5238258838653564,0.05474543571472168,0.5785713195800781
