text_sizes,polynomials_degrees,secant_different_sizes_enc,secant_different_sizes_dec,secant_different_sizes_total,secant_different_deg_enc,secant_different_deg_dec,secant_different_deg_total,fposition_different_sizes_enc,fposition_different_sizes_dec,fposition_different_sizes_total,fposition_different_deg_enc,fposition_different_deg_dec,fposition_different_deg_total,bisection_different_sizes_enc,bisection_different_sizes_dec,bisection_different_sizes_total,bisection_different_deg_enc,bisection_different_deg_dec,bisection_different_deg_total,hybridbf_different_sizes_enc,hybridbf_different_sizes_dec,hybridbf_different_sizes_total,hybridbf_different_deg_enc,hybridbf_different_deg_dec,hybridbf_different_deg_total,hybridsf_different_sizes_enc,hybridsf_different_sizes_dec,hybridsf_different_sizes_total,hybridsf_different_deg_enc,hybridsf_different_deg_dec,hybridsf_different_deg_total
5000,2.0,0.704108476638794,0.08857202529907227,0.7926805019378662,1.1998324394226074,0.21215248107910156,1.411984920501709,1.2114026546478271,0.09366250038146973,1.3050651550292969,2.9057514667510986,0.21174883842468262,3.1175003051757812,6.106025695800781,0.08964371681213379,6.195669412612915,9.09049129486084,0.2108292579650879,9.301320552825928,1.1901304721832275,0.08890271186828613,1.2790331840515137,2.3204219341278076,0.21012616157531738,2.530548095703125,1.3723523616790771,0.08975601196289062,1.4621083736419678,2.417186975479126,0.2134113311767578,2.630598306655884
7500,3.0,1.0717551708221436,0.13256502151489258,1.2043201923370361,1.4074122905731201,0.241851806640625,1.6492640972137451,1.7805359363555908,0.13387060165405273,1.9144065380096436,2.361642360687256,0.22916316986083984,2.5908055305480957,9.219112873077393,0.13441824913024902,9.353531122207642,12.518846273422241,0.23072052001953125,12.749566793441772,1.7762229442596436,0.08557367324829102,1.8617966175079346,2.5251591205596924,0.2378838062286377,2.76304292678833,2.0421254634857178,0.13322067260742188,2.1753461360931396,1.9904649257659912,0.23245930671691895,2.22292423248291
10000,4.0,1.4157040119171143,0.17730712890625,1.5930111408233643,1.8864269256591797,0.251056432723999,2.1374833583831787,2.3527557849884033,0.17852473258972168,2.531280517578125,4.245804309844971,0.23802399635314941,4.48382830619812,12.1470205783844,0.17837214469909668,12.325392723083496,15.31580638885498,0.25068044662475586,15.566486835479736,2.3813130855560303,0.17822527885437012,2.5595383644104004,4.57755184173584,0.2494664192199707,4.8270182609558105,2.6909339427948,0.18060088157653809,2.871534824371338,3.128998279571533,0.24999403953552246,3.3789923191070557
12500,5.0,1.7320733070373535,0.2243795394897461,1.9564528465270996,2.1274378299713135,0.2692270278930664,2.39666485786438,2.935936450958252,0.221635103225708,3.15757155418396,3.562159299850464,0.264448881149292,3.826608180999756,15.2678382396698,0.18063998222351074,15.44847822189331,18.323589086532593,0.26886773109436035,18.592456817626953,2.965397357940674,0.22175002098083496,3.187147378921509,3.5711185932159424,0.2683272361755371,3.8394458293914795,3.3601090908050537,0.22247719764709473,3.5825862884521484,4.0236217975616455,0.26717424392700195,4.2907960414886475
15000,6.0,2.1381032466888428,0.2656514644622803,2.403754711151123,2.8510847091674805,0.29674434661865234,3.147829055786133,3.499621629714966,0.26581811904907227,3.765439748764038,5.551782846450806,0.2863600254058838,5.8381428718566895,18.360910415649414,0.2565176486968994,18.617428064346313,21.77967071533203,0.28915977478027344,22.068830490112305,3.5480237007141113,0.2659773826599121,3.8140010833740234,5.480715274810791,0.2976491451263428,5.778364419937134,4.1218016147613525,0.2654242515563965,4.387225866317749,4.378877878189087,0.2902987003326416,4.6691765785217285
17500,,2.462294816970825,0.3131825923919678,2.775477409362793,,,,4.1396644115448,0.3102457523345947,4.4499101638793945,,,,21.548758506774902,0.3109629154205322,21.859721422195435,,,,4.103124380111694,0.3132317066192627,4.416356086730957,,,,4.751113176345825,0.31305599212646484,5.06416916847229,,,
20000,,2.8236517906188965,0.35276246070861816,3.1764142513275146,,,,4.743528127670288,0.35442376136779785,5.097951889038086,,,,24.452432870864868,0.3561854362487793,24.808618307113647,,,,4.70824408531189,0.35793089866638184,5.0661749839782715,,,,5.43277382850647,0.3543257713317871,5.787099599838257,,,
22500,,3.142443895339966,0.40846967697143555,3.5509135723114014,,,,5.32487154006958,0.39952826499938965,5.72439980506897,,,,27.608900785446167,0.40267395973205566,28.011574745178223,,,,5.261263608932495,0.3999958038330078,5.661259412765503,,,,6.088268995285034,0.40062379837036133,6.4888927936553955,,,
25000,,3.54598069190979,0.4486854076385498,3.99466609954834,,,,5.922142744064331,0.3787343502044678,6.300877094268799,,,,30.835075855255127,0.4439983367919922,31.27907419204712,,,,5.860506772994995,0.446453332901001,6.306960105895996,,,,6.749741792678833,0.4472169876098633,7.196958780288696,,,
27500,,3.8536205291748047,0.4922802448272705,4.345900774002075,,,,6.485782623291016,0.4785733222961426,6.964355945587158,,,,33.76847958564758,0.4773070812225342,34.24578666687012,,,,6.5114524364471436,0.48676085472106934,6.998213291168213,,,,7.423844575881958,0.49156928062438965,7.915413856506348,,,
30000,,4.236382722854614,0.5411155223846436,4.777498245239258,,,,7.139742612838745,0.5358963012695312,7.675638914108276,,,,36.89499497413635,0.536372184753418,37.43136715888977,,,,7.049612760543823,0.5414376258850098,7.591050386428833,,,,8.055849075317383,0.5315263271331787,8.587375402450562,,,
