Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,37,8.404397964477538e-05,1.3652300134126563,-2.3788970793248154e-11,1.3652300133835524,1.36523001344176
$P2$,1,1.9459724426269533e-06,2.0,0.0,0.0,4.0
$P3$,36,2.8006553649902345e-05,0.6931471805728506,2.581046487648564e-11,0.6931471805437468,0.6931471806019545
$P4$,37,2.4055004119873048e-05,3.1415926536137704,-2.3977142153544667e-11,3.1415926535846666,3.141592653642874
$P5$,35,5.8005332946777344e-05,1.999999999985448,1.4551915228366852e-11,1.9999999999417923,2.000000000029104
$P6$,1,0.0,-2.0,0.0,-2.5,-1.5
$P7$,35,2.7926921844482422e-05,0.7390851332165767,-2.369882068364859e-12,0.7390851331874728,0.7390851332456805
$P8$,1,0.0,3.0,0.0,2.0,4.0
$P9$,1,0.0,0.0,0.0,-1.0,1.0
$P10$,36,8.007097244262695e-05,3.111748656287091,1.9599610823206604e-10,3.111748656257987,3.1117486563161947
$P11$,35,2.7915000915527345e-05,1.7320508075936232,8.572209608814774e-11,1.7320508075645193,1.732050807622727
$P12$,37,4.000997543334961e-05,2.2360679774938035,-2.6771473926601175e-11,2.2360679774574237,2.2360679775301833
$P13$,35,3.3989906311035155e-05,3.162277660187101,1.184066178439025e-10,3.162277660157997,3.162277660216205
$P14$,36,3.1998634338378904e-05,1.999999999985448,-4.3655745685100555e-11,1.9999999999417923,2.000000000029104
$P15$,36,3.000354766845703e-05,1.8284271247393917,-3.845723739459572e-11,1.828427124710288,1.8284271247684956
$P16$,36,2.7997493743896486e-05,1.259921049902914,3.829248029774135e-11,1.2599210498738103,1.259921049932018
$P17$,36,2.599620819091797e-05,1.524345204961719,-2.5995827712677055e-10,1.5243452049326152,1.5243452049908228
$P18$,35,2.208518981933594e-05,0.7390851332165767,2.369882068364859e-12,0.7390851331874728,0.7390851332456805
$P19$,36,2.5989532470703124e-05,1.1141571408661548,-8.020695219101981e-12,1.114157140837051,1.1141571408952586
$P20$,37,2.599763870239258e-05,2.073932809071266,4.586420132568492e-11,2.0739328090276103,2.073932809114922
$P21$,35,2.800464630126953e-05,0.9999999999854482,-1.455180420606439e-10,0.9999999999476132,1.0000000000232832
$P22$,35,4.1923046112060545e-05,1.6490135533094872,5.121592039358802e-11,1.6490135532803833,1.649013553338591
$P23$,35,3.8000106811523434e-05,3.221588399115717,-2.9346547414377255e-10,3.221588399086613,3.221588399144821
$P24$,35,3.000020980834961e-05,2.1253934262495022,8.750156155201694e-11,2.1253934262203984,2.125393426278606
$P25$,34,3.1999588012695314e-05,0.8767262153851334,1.1058820525988722e-11,0.8767262153560296,0.8767262154142372
