Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,60,0.00019400119781494142,1.3652300134095658,-7.482370278921735e-11,1.3652300134095658,4.0
$P2$,25,3.199195861816406e-05,1.999999999985837,-5.665157232215279e-11,1.999999999985837,4.0
$P3$,37,4.399728775024414e-05,0.6931471805263113,-6.726796897282838e-11,0.6931471805263113,2.0
$P4$,7,5.993843078613281e-06,3.1415926535899232,-1.299956738061536e-13,3.141592013692936,3.1415926535899232
$P5$,2,5.9909820556640625e-06,1.0,0.0,1.0,2.5
$P6$,22,4.8001766204833985e-05,-1.999999999904401,-9.559908420442298e-11,-2.5,-1.999999999904401
$P7$,9,1.2023448944091797e-05,0.7390851331710709,7.378908595256917e-11,0.7390851331710709,1.0
$P8$,23,3.597688674926758e-05,2.9999999999941527,-3.242472956799247e-11,2.9999999999941527,4.0
$P9$,2,2.002716064453125e-06,0.0,0.0,0.0,1.0
$P10$,9,2.799510955810547e-05,3.1117486563093983,-1.3322676295501878e-12,3.051682692307692,3.1117486563093983
$P11$,11,1.399850845336914e-05,1.732050807565499,-1.170263885796885e-11,1.732050807565499,2.0
$P12$,36,5.001354217529297e-05,2.2360679774782453,-9.634959496906959e-11,2.2360679774782453,7.0
$P13$,12,1.3988971710205078e-05,3.162277660159045,-5.903366684378852e-11,3.162277660159045,4.0
$P14$,28,4.2003154754638673e-05,1.9999999999729785,-8.106448845524028e-11,1.9999999999729785,4.0
$P15$,16,2.60009765625e-05,1.8284271247430004,-1.8044232774627744e-11,1.8284271247430004,3.0
$P16$,31,3.7991523742675784e-05,1.2599210498860078,-4.221845095742083e-11,1.2599210498860078,2.0
$P17$,23,2.80003547668457e-05,1.5243452049803463,-4.402700426453521e-11,1.5243452049803463,2.0
$P18$,9,7.998943328857421e-06,0.7390851331710709,-7.378908595256917e-11,0.7390851331710709,1.0
$P19$,6,6.012916564941406e-06,1.1141571408730828,1.6009416015094757e-12,1.0997501702946164,1.1141571408730828
$P20$,10,1.6060352325439452e-05,2.0739328090690456,5.096922883751631e-11,2.0739328090690456,2.5157197710146586
$P21$,105,0.0001480379104614258,0.999999999991188,-8.81195116875233e-11,0.999999999991188,1.3
$P22$,12,2.5962352752685548e-05,1.6490135532942893,-1.623945422579709e-11,1.6490135532942893,2.0
$P23$,33,7.992362976074219e-05,3.2215883990874707,8.721479094475626e-11,3.2215883990874707,4.0
$P24$,33,7.601499557495117e-05,2.125393426223329,-5.32089927673951e-11,2.125393426223329,3.0
$P25$,13,3.199625015258789e-05,0.876726215372836,2.475530891388189e-11,0.876726215372836,1.0
