Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,9,2.7967453002929688e-05,1.365230013413779,-5.25091081726714e-12,1.3652300132710444,1.369770382783838
$P2$,1,2.0003318786621095e-06,2.0,0.0,0.0,4.0
$P3$,8,1.600027084350586e-05,0.6931471805540398,-1.1810996625172265e-11,0.693147179092981,0.7012092856565997
$P4$,5,8.071422576904297e-06,3.141592653604888,-1.5094913867333564e-11,3.1415903579556947,3.147874957380742
$P5$,1,1.995563507080078e-06,1.0,0.0,1.0,2.5
$P6$,1,0.0,-2.0,0.0,-2.5,-1.5
$P7$,6,7.978916168212891e-06,0.7390851332052985,1.6505463662497277e-11,0.739085129637734,0.751652896822038
$P8$,1,1.9936561584472656e-06,3.0,0.0,2.0,4.0
$P9$,1,1.9969940185546874e-06,0.0,0.0,-1.0,1.0
$P10$,6,2.2003173828125e-05,3.11174865631469,-4.8132164920389187e-11,3.0989059994429415,3.111748659071221
$P11$,7,1.0001659393310548e-05,1.7320508075688001,-2.673417043297377e-13,1.7320508075243148,1.7380648729176529
$P12$,9,1.6064167022705078e-05,2.236067977499364,-1.9042545318370685e-12,2.236067977378202,2.251790330589027
$P13$,6,9.930610656738281e-06,3.1622776601625873,-3.6632030742111965e-11,3.162277658309092,3.1820418974153393
$P14$,2,4.004001617431641e-06,2.0,0.0,1.5,2.5
$P15$,4,7.997989654541015e-06,1.8284271247493797,1.8043344596208044e-11,1.8284228769497402,1.8284313725490196
$P16$,8,1.0066986083984374e-05,1.259921049893984,-4.234834705130197e-12,1.2599210494304347,1.2623362312049626
$P17$,9,1.2000083923339844e-05,1.5243452049817343,-2.793765219166744e-11,1.5243452044719357,1.5310977339996479
$P18$,6,1.1930942535400391e-05,0.7390851332052985,-1.6505463662497277e-11,0.739085129637734,0.751652896822038
$P19$,5,8.002281188964844e-06,1.1141571408719768,6.483702463810914e-14,1.1123283240460964,1.1141571414824443
$P20$,8,1.0066986083984374e-05,2.0739328090736553,4.037126188904949e-11,2.0739328035480877,2.0939415916541737
$P21$,11,1.803112030029297e-05,0.9999999999999305,-6.94999613415348e-13,0.9999999999774658,1.0006867265885062
$P22$,7,1.399374008178711e-05,1.6490135532974015,-2.425615264201042e-12,1.6490135530695813,1.6572985222572076
$P23$,8,1.3934612274169921e-05,3.2215883990939242,2.398081733190338e-13,3.221588399082301,3.2232453771967124
$P24$,8,8.067131042480468e-06,2.1253934262325003,-3.90265597616235e-12,2.125393426013882,2.1296492400055667
$P25$,6,1.000213623046875e-05,0.8767262153886713,7.118305944686654e-12,0.8767262106474469,0.8778106802222994
